domain	phylum	class	order	family	genus	species	taxid
bacteria	pseudomonadota	gammaproteobacteria	moraxellales	moraxellaceae	acinetobacter	acinetobacter_baumannii	470
bacteria	pseudomonadota	gammaproteobacteria	moraxellales	moraxellaceae	acinetobacter	acinetobacter_pittii	48296
bacteria	pseudomonadota	campylobacteria	campylobacterales	helicobacteraceae	helicobacter	helicobacter_pylori	210
bacteria	pseudomonadota	gammaproteobacteria	enterobacterales	enterobacteriaceae	salmonella	salmonella_enterica	28901
bacteria	pseudomonadota	gammaproteobacteria	enterobacterales	enterobacteriaceae	klebsiella	klebsiella_aerogenes	548
bacteria	pseudomonadota	gammaproteobacteria	enterobacterales	enterobacteriaceae	klebsiella	klebsiella_oxytoca	571
bacteria	pseudomonadota	gammaproteobacteria	enterobacterales	enterobacteriaceae	klebsiella	klebsiella_pneumoniae	573
bacteria	pseudomonadota	gammaproteobacteria	enterobacterales	enterobacteriaceae	klebsiella	klebsiella_quasipneumoniae	1463165
bacteria	pseudomonadota	gammaproteobacteria	enterobacterales	yersiniaceae	serratia	serratia_marcescens	615
bacteria	pseudomonadota	gammaproteobacteria	enterobacterales	enterobacteriaceae	shigella	shigella_flexneri	623
bacteria	pseudomonadota	gammaproteobacteria	enterobacterales	enterobacteriaceae	shigella	shigella_sonnei	624
bacteria	pseudomonadota	gammaproteobacteria	enterobacterales	enterobacteriaceae	citrobacter	citrobacter_freundii	546
bacteria	pseudomonadota	gammaproteobacteria	enterobacterales	enterobacteriaceae	escherichia	escherichia_coli	562
bacteria	pseudomonadota	gammaproteobacteria	enterobacterales	enterobacteriaceae	enterobacter	enterobacter_cloacae	550
bacteria	pseudomonadota	gammaproteobacteria	enterobacterales	enterobacteriaceae	enterobacter	enterobacter_hormaechei	158836
bacteria	firmicutes	bacilli	lactobacillales	enterococcaceae	enterococcus	enterococcus_faecium	1352
bacteria	firmicutes	bacilli	bacillales	listeriaceae	listeria	listeria_monocytogenes	1639
bacteria	firmicutes	bacilli	bacillales	staphylococcaceae	staphylococcus	staphylococcus_argenteus	985002
bacteria	firmicutes	bacilli	bacillales	staphylococcaceae	staphylococcus	staphylococcus_aureus	1280
bacteria	firmicutes	bacilli	bacillales	staphylococcaceae	staphylococcus	staphylococcus_epidermidis	1282
bacteria	firmicutes	bacilli	lactobacillales	streptococcaceae	streptococcus	streptococcus_agalactiae	1311
bacteria	firmicutes	bacilli	lactobacillales	streptococcaceae	streptococcus	streptococcus_pneumoniae	1313
bacteria	pseudomonadota	gammaproteobacteria	xanthomonadales	xanthomonadaceae	stenotrophomonas	stenotrophomonas_maltophilia	40324
bacteria	pseudomonadota	gammaproteobacteria	pseudomonadales	pseudomonadaceae	pseudomonas	pseudomonas_aeruginosa	287
bacteria	pseudomonadota	gammaproteobacteria	vibrionales	vibrionaceae	vibrio	vibrio_cholerae	666
bacteria	pseudomonadota	campylobacteria	campylobacterales	campylobacteraceae	campylobacter	campylobacter_coli	195
bacteria	pseudomonadota	campylobacteria	campylobacterales	campylobacteraceae	campylobacter	campylobacter_jejuni	197
bacteria	actinobacteria	actinomycetia	corynebacteriales	corynebacteriaceae	corynebacterium	corynebacterium_striatum	43770
bacteria	actinobacteria	actinomycetia	mycobacteriales	mycobacteriaceae	mycobacterium	mycobacterium_africanum	1764
bacteria	actinobacteria	actinomycetia	mycobacteriales	mycobacteriaceae	mycobacterium	mycobacterium_tuberculosis	1773
bacteria	firmicutes	mollicutes	mycoplasmatales	mycoplasmataceae	mycoplasma	mycoplasma_pneumoniae	2104
bacteria	firmicutes	clostridia	peptostreptococcales	peptostreptococcaceae	clostridioides	clostridioides_difficile	1496
bacteria	firmicutes	clostridia	peptostreptococcales	peptostreptococcaceae	peptoclostridium	peptoclostridium_difficile	1496
bacteria	pseudomonadota	betaproteobacteria	neisseriales	neisseriaceae	neisseria	neisseria_gonorrhoeae	485
bacteria	pseudomonadota	betaproteobacteria	neisseriales	neisseriaceae	neisseria	neisseria_meningitidis	487
